Sample_name,Variety,Replicate,Section,HPH,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Yemen-3-Stem(<1m)-H,Yemen,3,Stem(<1m),H,3,33934,42.415,236,320,435,330,19.3,0.0861,1.074,130.831,5.638,5.369,1.849,35.973,567948,685.695,35.687,70.556,63.884,591,34
Yemen-3-Stem(<1m)-H,Yemen,3,Stem(<1m),H,4,35571,41.425,238,324,444,336,19.4,0.0875,1.063,130.991,5.732,5.426,1.869,35.706,593494,669.842,35.341,70.336,63.526,592,34
Yemen-2-Stem(>1m)-L,Yemen,2,Stem(>1m),L,1,50149,38.02,243,340,486,349,20.8,0.09,1.04,109.13,2.39,5.17,1.3,33.03,284611,207.46,23.3,51.04,40.55,856,41
Yemen-2-Stem(>1m)-L,Yemen,2,Stem(>1m),L,2,50161,39.03,244,343,491,354,20.8,0.09,1.05,108.83,2.44,5.11,1.31,32.02,287187,214.81,23.36,51.13,40.44,853,41
Yemen-2-Stem(>1m)-L,Yemen,2,Stem(>1m),L,3,50204,37.43,246,346,491,352,20.8,0.09,1.04,109.1,2.47,5.13,1.27,32.12,290433,208.46,23.07,50.86,40.49,850,41
Yemen-2-Stem(>1m)-L,Yemen,2,Stem(>1m),L,4,50099,38.41,245,346,497,353,20.8,0.09,1.04,106.12,2.34,5.15,1.26,32.4,290042,213.57,23.11,51.29,40.58,853,41
Yemen-2-Stem(>1m)-M,Yemen,2,Stem(>1m),M,1,50250,43.61,245,339,475,344,19.2,0.08,1.06,124.37,3.96,4.98,1.44,32.5,313048,261.14,24.18,51.95,42.08,805,40
Yemen-2-Stem(>1m)-M,Yemen,2,Stem(>1m),M,2,50080,42.58,245,343,489,349,19.2,0.08,1.06,126.49,3.83,4.91,1.43,33.17,317095,259.5,24.4,52.24,42.26,802,40
Yemen-2-Stem(>1m)-M,Yemen,2,Stem(>1m),M,3,50048,43.21,245,341,481,348,19.1,0.08,1.05,124.81,3.7,4.9,1.5,32.83,314691,261.79,24.66,52.27,42.11,798,40
Yemen-2-Stem(>1m)-M,Yemen,2,Stem(>1m),M,4,50069,42.09,245,341,478,347,19.2,0.08,1.06,124.09,3.87,4.95,1.46,32.91,318537,257.47,24.86,52.31,42.28,796,39
Yemen-2-Stem(>1m)-H,Yemen,2,Stem(>1m),H,1,50033,53.15,237,321,438,327,17.3,0.07,1.06,130.09,5.86,4.92,1.55,33.15,541564,557.24,30.9,62.59,54.81,662,36
Yemen-2-Stem(>1m)-H,Yemen,2,Stem(>1m),H,2,50129,53.39,237,322,441,328,17.3,0.07,1.07,131.55,5.55,4.89,1.56,33.44,546014,561.6,31.39,63.02,54.87,664,36
Yemen-2-Stem(>1m)-H,Yemen,2,Stem(>1m),H,3,50124,55.24,238,320,434,327,17.4,0.07,1.07,131.26,5.76,4.89,1.57,33.45,545864,581.46,31.07,63.08,55,664,36
Yemen-2-Stem(>1m)-H,Yemen,2,Stem(>1m),H,4,50118,55.1,236,319,433,325,17.2,0.07,1.07,130.63,5.62,4.79,1.52,32.8,551207,586.29,31.75,63.4,55.31,663,36
GreenleafBMR-1-Leaf-L,GreenleafBMR,1,Leaf,L,1,50202,47.71,227,320,450,303,16.3,0.07,1.06,118.79,2.1,4.06,1.11,26.74,671113,617.97,48.71,71.09,62.72,853,40
GreenleafBMR-1-Leaf-L,GreenleafBMR,1,Leaf,L,2,50153,49.08,229,325,462,309,16.2,0.07,1.04,120.06,2.11,4.04,1.17,26.77,676126,639.72,48.19,71.1,62.4,845,40
GreenleafBMR-1-Leaf-L,GreenleafBMR,1,Leaf,L,3,50132,48.87,228,321,450,305,16.2,0.07,1.05,119.94,2.03,4.01,1.17,26.96,678148,639.22,47.24,71.15,62.57,833,40
GreenleafBMR-1-Leaf-L,GreenleafBMR,1,Leaf,L,4,50055,49.52,228,321,454,307,16.1,0.07,1.05,119.7,2.02,3.98,1.15,26.48,681346,650.64,47.81,71.13,62.77,836,40
GreenleafBMR-1-Leaf-M,GreenleafBMR,1,Leaf,M,1,50129,54.51,239,329,447,318,14.6,0.06,1.04,130.64,3.31,3.51,0.9,23.31,746229,783.66,49.52,71.4,63.09,742,38
GreenleafBMR-1-Leaf-M,GreenleafBMR,1,Leaf,M,2,50128,54.51,239,331,454,321,15,0.06,1.04,128.57,3.36,3.75,1.09,24.76,722232,758.6,47.38,70.73,62.4,756,38
GreenleafBMR-1-Leaf-M,GreenleafBMR,1,Leaf,M,3,50211,54.34,238,329,449,317,15.1,0.06,1.05,129.05,3.48,3.86,1.15,26.17,706366,738.52,45.48,70.26,61.95,756,38
GreenleafBMR-1-Leaf-M,GreenleafBMR,1,Leaf,M,4,50069,55.57,240,330,448,322,14.7,0.06,1.05,131.61,3.19,3.53,0.9,23.27,733705,788.33,48.31,70.85,62.66,740,38
GreenleafBMR-1-Leaf-H,GreenleafBMR,1,Leaf,H,1,35711,91.14,247,319,410,312,12.5,0.03,1.04,134.69,5.59,3.29,0.48,16.33,329441,810.45,33.95,58.87,49.05,563,34
GreenleafBMR-1-Leaf-H,GreenleafBMR,1,Leaf,H,2,34346,85.17,249,325,423,318,12.5,0.04,1.05,134.15,5.82,3.32,0.47,15.96,316571,755.51,34.04,58.46,48.67,564,34
GreenleafBMR-1-Leaf-H,GreenleafBMR,1,Leaf,H,3,36475,84.97,249,325,421,317,12.5,0.04,1.04,135.14,6.01,3.33,0.5,15.91,338813,758.32,34.14,58.41,48.88,566,34
GreenleafBMR-1-Leaf-H,GreenleafBMR,1,Leaf,H,4,36475,84.97,249,325,421,317,12.5,0.04,1.04,135.14,6.01,3.33,0.5,15.91,338813,758.32,34.14,58.41,48.88,566,34
GreenleafBMR-2-Sheath-L,GreenleafBMR,2,Sheath,L,1,50178,53.912,262,358,481,355,15.3,0.0558,1.028,114.971,2.17,3.591,0.882,20.256,406637,420.339,35.709,58.458,47.586,815,40
GreenleafBMR-2-Sheath-L,GreenleafBMR,2,Sheath,L,2,50184,54.849,263,361,486,359,15.4,0.0548,1.043,115.418,2.172,3.63,0.965,20.325,403691,424.553,34.927,58.069,47.227,818,40
GreenleafBMR-2-Sheath-L,GreenleafBMR,2,Sheath,L,3,50054,54.08,264,360,483,356,15.4,0.0552,1.041,113.375,2.167,3.731,0.945,20.65,404694,419.341,34.77,58.182,47.436,819,40
GreenleafBMR-2-Sheath-L,GreenleafBMR,2,Sheath,L,4,50188,50.224,263,359,482,354,15.3,0.0599,1.027,111.16,2.175,3.631,0.875,20.213,409413,394.097,35.797,58.392,47.798,828,40
GreenleafBMR-2-Sheath-M,GreenleafBMR,2,Sheath,M,1,50076,61.927,266,357,470,359,14.4,0.0481,1.054,122.723,3.146,3.466,0.822,18.29,397569,469.863,31.752,55.842,45.355,695,37
GreenleafBMR-2-Sheath-M,GreenleafBMR,2,Sheath,M,2,50028,59.878,265,358,478,362,14.4,0.0498,1.039,124.188,3.16,3.475,0.844,18.424,402084,460.649,31.795,56.123,45.598,698,37
GreenleafBMR-2-Sheath-M,GreenleafBMR,2,Sheath,M,3,50008,61.354,265,356,471,357,14.5,0.0487,1.035,122.986,3.33,3.563,0.863,18.465,404620,476.569,31.417,56.089,45.911,696,37
GreenleafBMR-2-Sheath-M,GreenleafBMR,2,Sheath,M,4,50135,60.794,265,355,468,357,14.4,0.0493,1.047,122.72,3.181,3.475,0.813,17.793,404274,469.496,32.568,56.214,45.932,698,37
GreenleafBMR-2-Sheath-H,GreenleafBMR,2,Sheath,H,1,50122,84.732,254,328,419,328,13.2,0.0363,1.061,130.846,6.797,3.97,0.751,17.834,287635,465.081,24.796,50.302,38.632,624,36
GreenleafBMR-2-Sheath-H,GreenleafBMR,2,Sheath,H,2,50058,85.057,254,327,416,325,13,0.0362,1.059,131.505,6.977,3.916,0.734,17.717,287196,465.995,24.916,49.821,38.71,621,36
GreenleafBMR-2-Sheath-H,GreenleafBMR,2,Sheath,H,3,50145,82.587,255,328,420,328,13.2,0.0372,1.059,131.051,6.917,3.958,0.747,18.446,288923,455.266,24.671,49.965,38.786,625,36
GreenleafBMR-2-Sheath-H,GreenleafBMR,2,Sheath,H,4,50030,83.975,254,326,416,324,13.1,0.0365,1.048,131.68,6.856,3.904,0.698,17.64,291518,468.062,25.448,50.635,39.13,624,36
GreenleafBMR-1-Stem-L,GreenleafBMR,1,Stem,L,1,50167,45.861,275,393,555,388,18,0.066,1.049,113.981,2.872,4.294,0.898,23.98,192252,168.299,19.164,41.922,28.791,841,41
GreenleafBMR-1-Stem-L,GreenleafBMR,1,Stem,L,2,50195,45.675,273,391,558,387,17.8,0.0667,1.052,114.743,2.654,4.238,0.856,23.476,197545,171.997,19.907,42.392,29.373,833,41
GreenleafBMR-1-Stem-L,GreenleafBMR,1,Stem,L,3,50027,45.938,274,392,555,390,17.9,0.066,1.054,115.79,2.893,4.281,0.908,23.475,194251,170.511,19.673,42.093,29.017,835,41
GreenleafBMR-1-Stem-L,GreenleafBMR,1,Stem,L,4,50004,47.521,273,391,552,387,17.8,0.0642,1.048,115.704,2.707,4.17,0.85,23.321,194066,176.394,19.681,41.882,29.113,842,41
GreenleafBMR-1-Stem-M,GreenleafBMR,1,Stem,M,1,50031,46.464,270,382,537,385,17.9,0.068,1.066,126.234,4.808,4.719,1.205,26.946,210574,187.217,17.827,42.265,30.574,794,40
GreenleafBMR-1-Stem-M,GreenleafBMR,1,Stem,M,2,50113,48.03,268,379,531,380,17.7,0.066,1.077,127.899,4.622,4.625,1.165,26.256,213423,195.874,18.244,42.955,30.991,790,40
GreenleafBMR-1-Stem-M,GreenleafBMR,1,Stem,M,3,50100,48.082,269,381,535,382,17.8,0.0661,1.071,126.589,4.629,4.583,1.101,26.522,209999,192.868,17.88,42.457,30.477,790,40
GreenleafBMR-1-Stem-M,GreenleafBMR,1,Stem,M,4,50114,47.587,270,382,533,384,17.8,0.0661,1.066,126.381,4.827,4.687,1.149,26.811,211633,192.018,17.535,42.378,30.566,786,40
GreenleafBMR-1-Stem-H,GreenleafBMR,1,Stem,H,1,50109,63.547,259,356,488,368,15.9,0.0505,1.092,129.899,7.122,4.751,1.308,25.17,298228,363.949,20.078,49.198,38.272,676,37
GreenleafBMR-1-Stem-H,GreenleafBMR,1,Stem,H,2,50137,63.612,258,357,490,369,15.8,0.0505,1.091,130.394,7.142,4.729,1.247,25.428,298105,364.484,20.565,49.533,38.279,680,37
GreenleafBMR-1-Stem-H,GreenleafBMR,1,Stem,H,3,50114,62.692,258,353,481,364,15.9,0.0513,1.095,129.955,7.286,4.797,1.273,25.479,298174,359.123,20.144,49.499,38.474,676,37
GreenleafBMR-1-Stem-H,GreenleafBMR,1,Stem,H,4,50130,63.954,256,352,481,361,15.8,0.0506,1.087,129.728,7.055,4.753,1.27,25.449,299909,368.21,20.759,49.454,38.718,676,37
Graingrass-2-Leaf-L,Graingrass,2,Leaf,L,1,50075,39.32,224,335,502,302,18.4,0.0913,1.05,118.251,1.814,4.739,1.402,34.486,676021,514.488,49.419,72.552,62.009,910,41
Graingrass-2-Leaf-L,Graingrass,2,Leaf,L,2,50031,39.231,222,329,490,298,18.8,0.092,1.046,116.527,2.015,4.852,1.5,35.702,652855,494.894,48.197,72.304,61.703,917,41
Graingrass-2-Leaf-L,Graingrass,2,Leaf,L,3,50108,39.08,224,334,497,300,18.5,0.0915,1.045,118.048,1.885,4.756,1.456,34.45,677158,511.632,48.488,72.67,62.141,912,41
Graingrass-2-Leaf-L,Graingrass,2,Leaf,L,4,50110,38.263,224,333,496,299,18.5,0.0933,1.054,119.25,1.876,4.764,1.418,35.224,680221,503.495,49.122,72.837,62.266,907,41
Graingrass-2-Leaf-M,Graingrass,2,Leaf,M,1,50033,47.164,242,351,496,328,16.2,0.0702,1.046,129.377,3.226,4.285,1.404,30.867,777562,708.163,47.927,72.789,62.642,760,38
Graingrass-2-Leaf-M,Graingrass,2,Leaf,M,2,50029,48.125,242,351,495,327,16.1,0.0681,1.062,129.834,3.273,4.238,1.354,30.659,790509,735.355,48.56,73.08,63.024,759,38
Graingrass-2-Leaf-M,Graingrass,2,Leaf,M,3,50125,46.776,241,349,490,326,16.1,0.0709,1.042,128.577,3.279,4.184,1.307,30.338,792949,714.836,49.192,73.219,63.139,757,38
Graingrass-2-Leaf-M,Graingrass,2,Leaf,M,4,50029,46.889,241,349,493,325,16.1,0.0705,1.048,129.856,3.314,4.266,1.389,30.688,784472,712.727,48.203,73.001,62.931,756,38
Graingrass-2-Leaf-H,Graingrass,2,Leaf,H,1,28867,77.857,261,344,444,331,12.4,0.0374,1.048,135.868,5.905,3.239,0.487,16.482,385433,996.368,39.357,63.71,55.026,511,32
Graingrass-2-Leaf-H,Graingrass,2,Leaf,H,2,29604,79.885,261,345,443,332,12.3,0.0363,1.049,135.164,5.98,3.291,0.492,16.245,398384,1030.254,39.038,63.864,55.228,511,32
Graingrass-2-Leaf-H,Graingrass,2,Leaf,H,3,29283,82,262,345,445,332,12.3,0.0352,1.041,133.728,5.743,3.3,0.477,15.979,386560,1041.03,39.404,63.772,54.775,512,32
Graingrass-2-Leaf-H,Graingrass,2,Leaf,H,4,28771,79.235,262,345,444,332,12.3,0.0366,1.046,135.038,6.15,3.301,0.48,15.881,376970,999.252,38.972,63.387,54.645,514,32
Graingrass-3-Sheath-L,Graingrass,3,Sheath,L,1,50151,59.759,243,326,439,315,15.1,0.0535,1.039,113.735,2.189,3.639,1.06,21.461,361328,414.114,35.342,58.285,47.938,884,42
Graingrass-3-Sheath-L,Graingrass,3,Sheath,L,2,50081,61.099,246,330,441,319,14.8,0.0513,1.022,114.724,2.293,3.458,0.968,19.842,381682,448.146,35.957,58.498,48.39,833,41
Graingrass-3-Sheath-L,Graingrass,3,Sheath,L,3,50227,59.641,244,327,438,315,15.1,0.0537,1.034,114.351,2.236,3.681,1.037,21.947,342506,390.967,34.478,56.729,47.142,932,43
Graingrass-3-Sheath-L,Graingrass,3,Sheath,L,4,50023,62.045,246,327,432,318,14.8,0.051,1.023,113.54,2.167,3.427,0.991,19.378,375584,448.342,35.576,58.707,48.147,833,40
Graingrass-3-Sheath-M,Graingrass,3,Sheath,M,1,50168,64.314,247,326,428,316,14.4,0.0493,1.041,123.461,3.324,3.592,0.983,19.675,341020,421.631,31.793,55.869,45.059,776,39
Graingrass-3-Sheath-M,Graingrass,3,Sheath,M,2,50200,64.504,245,325,430,314,14.6,0.0494,1.039,122.402,3.335,3.637,1.058,20.433,337144,417.707,31.846,55.988,44.995,790,40
Graingrass-3-Sheath-M,Graingrass,3,Sheath,M,3,50052,64.123,247,326,431,317,14.6,0.0498,1.056,122.683,3.305,3.683,1.087,20.461,338107,416.502,32.019,56.038,45.258,800,40
Graingrass-3-Sheath-M,Graingrass,3,Sheath,M,4,50122,64.088,247,325,429,317,14.5,0.0498,1.037,124.014,3.314,3.653,1.035,19.876,340814,418.471,31.961,55.735,45.076,777,39
Graingrass-3-Sheath-H,Graingrass,3,Sheath,H,1,50093,82.771,242,311,401,304,13.1,0.0382,1.055,130.235,5.498,3.715,0.889,17.75,296327,470.127,27.625,52.853,41.594,677,37
Graingrass-3-Sheath-H,Graingrass,3,Sheath,H,2,50174,82.465,242,310,399,302,13.1,0.0384,1.05,130.572,5.512,3.69,0.898,18.212,299913,473.658,28.404,53.29,41.844,672,37
Graingrass-3-Sheath-H,Graingrass,3,Sheath,H,3,50025,82.912,243,313,403,306,13.1,0.038,1.057,131.021,5.517,3.711,0.903,17.699,297535,476.027,28.135,53.034,41.494,674,37
Graingrass-3-Sheath-H,Graingrass,3,Sheath,H,4,50115,83.475,243,314,405,305,13.1,0.0378,1.05,129.95,5.522,3.727,0.906,17.574,294410,472.275,27.834,52.387,41.259,679,37
Graingrass-3-Stem-L,Graingrass,3,Stem,L,1,50092,61.282,250,345,478,349,16.1,0.051,1.027,109.67,2.349,3.826,1.093,21.006,218859,257.159,22.154,48.08,34.89,849,42
Graingrass-3-Stem-L,Graingrass,3,Stem,L,2,50159,61.952,250,346,478,349,16,0.0505,1.04,108.327,2.417,3.824,1.084,20.426,221384,262.219,0.6,2.246,35.072,839,42
Graingrass-3-Stem-L,Graingrass,3,Stem,L,3,50248,61.37,251,350,490,353,16,0.0505,1.05,108.199,2.321,3.761,1.106,21.013,222134,261.181,22.012,48.391,34.854,842,42
Graingrass-3-Stem-L,Graingrass,3,Stem,L,4,50133,60.44,251,348,487,352,16,0.0514,1.032,108.679,2.318,3.808,1.107,20.943,223777,259.159,22.893,48.976,35.16,838,42
Graingrass-3-Stem-M,Graingrass,3,Stem,M,1,50006,67.283,253,349,482,351,15,0.046,1.051,121.573,3.277,3.736,1.084,20.587,226327,293.286,21.789,47.844,34.588,781,41
Graingrass-3-Stem-M,Graingrass,3,Stem,M,2,50113,67.903,255,352,487,352,15,0.0453,1.048,121.249,3.397,3.841,1.118,20.755,224093,291.781,21.393,47.573,34.115,780,41
Graingrass-3-Stem-M,Graingrass,3,Stem,M,3,50166,66.558,255,351,483,352,15.1,0.0465,1.049,119.923,3.556,3.913,1.187,21.172,221852,282.924,0.695,4.131,33.941,781,41
Graingrass-3-Stem-M,Graingrass,3,Stem,M,4,50025,65.619,256,354,492,356,15.1,0.047,1.06,121.827,3.282,3.864,1.179,20.94,221008,278.414,20.877,47.273,33.678,780,41
Graingrass-3-Stem-H,Graingrass,3,Stem,H,1,50207,80.915,246,329,441,331,13.9,0.0391,1.063,129.202,5.806,4.03,1.11,20.162,287528,446.711,24.174,51.797,39.854,694,38
Graingrass-3-Stem-H,Graingrass,3,Stem,H,2,50114,77.928,248,333,446,335,14,0.0403,1.061,128.378,6.144,4.235,1.173,20.817,289792,433.855,23.46,52.248,39.835,693,38
Graingrass-3-Stem-H,Graingrass,3,Stem,H,3,50057,78.471,246,330,445,331,13.9,0.0402,1.066,129.559,5.87,4.122,1.146,20.629,290190,437.422,23.927,52.579,40.106,690,38
Graingrass-3-Stem-H,Graingrass,3,Stem,H,4,50071,80.165,247,332,447,334,13.8,0.0392,1.064,128.934,5.939,4.04,1.1,20.092,290418,448.488,24.484,52.046,39.888,690,38
