Year,Wood,Bacterial,Hemp,Flax,Kenaf,Jute,Sisal,Soybean,Banana,Pineapple,Curaua,Sugar beet,Wheat straw,Rutabaga,Palm,Ramie,Cotton,Rice ,Sugarcane,Bamboo,Tunicate,Canola ,Alfa,Oat,Algae,Ryegrass,Mango,Sludge,Cassava,Rapeseed,Taro,Pandanus,Coconut,CSR,Mangosteen,Orange/mandarin,Quince,Red pepper,Abaca,Sunflower,Aloe,Isora,Almond,Garlic,Maize,Triticale,Spinifex,Beer,Kapok,Pomelo,Cogon,Beavertail cactus,Durian,Posidonia oceanica,Potato,Water hyacinth,Lemongrass,Calotropis procera,Persimmons,Reed,Tobacco,Agave,Carrot,Coffee filters,Satingrass,Mulberry,Fique,Pistachio,Argan,Amorpha ,Pomace,Dandelion,Lupin hull,Barley,Leucaena,Tagasaste,Colocynth,Olive,Ginkgo,Japanese hop,Panax ginseng,Teabags,Khaya seeds,Citronella,Napier grass,Roselle,Cabbage,Ginger,Licorice,Grass,Sudachi,Sweet potato,Lime,Apple,Bassia eriophora,Municipal solid waste,Cattail,Acai,Marram grass,Unknown,n/a
2005,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2006,5,5,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2007,12,11,3,1,0,0,1,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22
2008,20,13,3,1,0,0,4,3,1,0,0,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36
2009,37,23,3,2,1,0,4,3,1,0,0,3,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53
2010,75,35,3,3,4,1,6,3,1,1,2,3,5,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83
2011,144,51,4,9,5,3,7,3,3,3,2,3,9,1,2,1,13,2,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,133
2012,252,62,6,10,6,5,8,3,5,3,4,3,9,1,3,1,21,6,6,6,2,2,1,3,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,208
2013,377,93,13,12,9,10,11,3,9,4,5,3,9,1,5,1,26,9,9,11,3,3,2,4,6,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,312
2014,553,125,16,15,13,14,12,3,12,4,5,4,11,1,12,1,39,20,12,15,3,4,3,6,10,1,5,3,1,2,1,1,1,1,1,2,2,1,2,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,487
2015,746,173,17,16,17,18,17,3,16,5,5,5,18,1,21,1,52,27,13,27,3,5,4,9,21,1,5,6,1,2,1,1,5,1,1,3,2,1,2,1,1,3,1,1,4,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,695
2016,975,229,17,18,24,19,22,6,23,6,5,5,25,1,28,1,70,35,20,46,4,5,4,10,27,1,5,12,1,2,1,1,5,1,1,5,2,1,2,1,1,4,1,1,10,1,4,3,2,1,1,1,1,1,1,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,954
2017,1297,306,21,18,26,25,25,6,29,8,5,7,32,1,43,1,101,39,33,69,6,5,4,12,32,1,6,15,2,3,1,1,6,1,1,7,2,1,2,2,1,5,2,1,22,2,9,5,2,1,1,1,1,1,1,0,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,1266
2018,1724,404,22,19,31,31,27,10,38,14,7,8,42,1,56,1,136,49,53,92,8,8,6,13,44,1,6,18,3,3,1,1,7,1,2,9,2,1,2,2,1,5,2,2,27,4,13,6,2,1,1,1,1,1,1,3,1,1,1,1,2,7,5,1,1,1,2,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,285,1665
