variety,section,HPH,quality_def,score
Sugargraze,Leaf,L,Q1,59.31259135
Sugargraze,Leaf,L,Q2,43.82307894
Sugargraze,Leaf,L,Q3,67.14367153
Sugargraze,Leaf,L,Q4,38.93506317
Sugargraze,Leaf,L,Q5,48.38049462
Sugargraze,Leaf,L,Q6,43.82307894
Sugargraze,Leaf,L,Q7,43.82307894
Sugargraze,Leaf,M,Q1,68.25350106
Sugargraze,Leaf,M,Q2,51.44433133
Sugargraze,Leaf,M,Q3,70.86149884
Sugargraze,Leaf,M,Q4,51.30302226
Sugargraze,Leaf,M,Q5,54.64869736
Sugargraze,Leaf,M,Q6,45.01378992
Sugargraze,Leaf,M,Q7,32.15270708
Sugargraze,Leaf,H,Q1,77.74178417
Sugargraze,Leaf,H,Q2,62.83024566
Sugargraze,Leaf,H,Q3,81.76467604
Sugargraze,Leaf,H,Q4,47.43237281
Sugargraze,Leaf,H,Q5,85.73398083
Sugargraze,Leaf,H,Q6,47.12268424
Sugargraze,Leaf,H,Q7,15.70756141
Sugargraze,Sheath,L,Q1,75.73888237
Sugargraze,Sheath,L,Q2,61.04524922
Sugargraze,Sheath,L,Q3,65.36198341
Sugargraze,Sheath,L,Q4,61.77141987
Sugargraze,Sheath,L,Q5,42.89065641
Sugargraze,Sheath,L,Q6,61.04524922
Sugargraze,Sheath,L,Q7,61.04524922
Sugargraze,Sheath,M,Q1,80.06161997
Sugargraze,Sheath,M,Q2,66.02493339
Sugargraze,Sheath,M,Q3,72.54918244
Sugargraze,Sheath,M,Q4,63.14827641
Sugargraze,Sheath,M,Q5,54.3362513
Sugargraze,Sheath,M,Q6,57.77181672
Sugargraze,Sheath,M,Q7,41.26558337
Sugargraze,Sheath,H,Q1,89.09850227
Sugargraze,Sheath,H,Q2,80.82802195
Sugargraze,Sheath,H,Q3,80.64498197
Sugargraze,Sheath,H,Q4,67.32465563
Sugargraze,Sheath,H,Q5,78.22035279
Sugargraze,Sheath,H,Q6,60.62101646
Sugargraze,Sheath,H,Q7,20.20700549
Sugargraze,Stem(<1m),L,Q1,44.48554266
Sugargraze,Stem(<1m),L,Q2,26.65939719
Sugargraze,Stem(<1m),L,Q3,49.21655683
Sugargraze,Stem(<1m),L,Q4,27.92465478
Sugargraze,Stem(<1m),L,Q5,37.70962209
Sugargraze,Stem(<1m),L,Q6,26.65939719
Sugargraze,Stem(<1m),L,Q7,26.65939719
Sugargraze,Stem(<1m),M,Q1,71.59579981
Sugargraze,Stem(<1m),M,Q2,51.92179804
Sugargraze,Stem(<1m),M,Q3,69.1533989
Sugargraze,Stem(<1m),M,Q4,52.95478658
Sugargraze,Stem(<1m),M,Q5,50.42737537
Sugargraze,Stem(<1m),M,Q6,45.43157329
Sugargraze,Stem(<1m),M,Q7,32.45112378
Sugargraze,Stem(<1m),H,Q1,81.21983442
Sugargraze,Stem(<1m),H,Q2,67.39738048
Sugargraze,Stem(<1m),H,Q3,82.60313704
Sugargraze,Stem(<1m),H,Q4,61.22536418
Sugargraze,Stem(<1m),H,Q5,68.67926964
Sugargraze,Stem(<1m),H,Q6,50.54803536
Sugargraze,Stem(<1m),H,Q7,16.84934512
Sugargraze,Stem(>1m),L,Q1,73.15955863
Sugargraze,Stem(>1m),L,Q2,52.26048451
Sugargraze,Stem(>1m),L,Q3,67.91731715
Sugargraze,Stem(>1m),L,Q4,55.48511029
Sugargraze,Stem(>1m),L,Q5,43.35961457
Sugargraze,Stem(>1m),L,Q6,52.26048451
Sugargraze,Stem(>1m),L,Q7,52.26048451
Sugargraze,Stem(>1m),M,Q1,84.92998119
Sugargraze,Stem(>1m),M,Q2,68.24363898
Sugargraze,Stem(>1m),M,Q3,74.21602758
Sugargraze,Stem(>1m),M,Q4,67.83940074
Sugargraze,Stem(>1m),M,Q5,54.65815877
Sugargraze,Stem(>1m),M,Q6,59.71318411
Sugargraze,Stem(>1m),M,Q7,42.65227436
Sugargraze,Stem(>1m),H,Q1,87.53772437
Sugargraze,Stem(>1m),H,Q2,75.48286806
Sugargraze,Stem(>1m),H,Q3,82.17168485
Sugargraze,Stem(>1m),H,Q4,67.03572704
Sugargraze,Stem(>1m),H,Q5,72.17841332
Sugargraze,Stem(>1m),H,Q6,56.61215105
Sugargraze,Stem(>1m),H,Q7,18.87071702
Yemen,Leaf,L,Q1,62.93820362
Yemen,Leaf,L,Q2,54.4895192
Yemen,Leaf,L,Q3,68.6703413
Yemen,Leaf,L,Q4,50.34510842
Yemen,Leaf,L,Q5,46.47965141
Yemen,Leaf,L,Q6,54.4895192
Yemen,Leaf,L,Q7,54.4895192
Yemen,Leaf,M,Q1,78.74382769
Yemen,Leaf,M,Q2,74.43863765
Yemen,Leaf,M,Q3,78.37043768
Yemen,Leaf,M,Q4,65.37259201
Yemen,Leaf,M,Q5,60.70354615
Yemen,Leaf,M,Q6,65.13380794
Yemen,Leaf,M,Q7,46.52414853
Yemen,Leaf,H,Q1,92.54994246
Yemen,Leaf,H,Q2,92.88702715
Yemen,Leaf,H,Q3,92.49363251
Yemen,Leaf,H,Q4,73.02451995
Yemen,Leaf,H,Q5,85.48200213
Yemen,Leaf,H,Q6,69.66527036
Yemen,Leaf,H,Q7,23.22175679
Yemen,Sheath,L,Q1,82.36417784
Yemen,Sheath,L,Q2,70.20694201
Yemen,Sheath,L,Q3,75.71248131
Yemen,Sheath,L,Q4,67.94666062
Yemen,Sheath,L,Q5,48.3149702
Yemen,Sheath,L,Q6,70.20694201
Yemen,Sheath,L,Q7,70.20694201
Yemen,Sheath,M,Q1,87.69039789
Yemen,Sheath,M,Q2,78.8935584
Yemen,Sheath,M,Q3,77.26260393
Yemen,Sheath,M,Q4,72.38061328
Yemen,Sheath,M,Q5,60.57618975
Yemen,Sheath,M,Q6,69.0318636
Yemen,Sheath,M,Q7,49.308474
Yemen,Sheath,H,Q1,92.86695932
Yemen,Sheath,H,Q2,96.43347966
Yemen,Sheath,H,Q3,84.23463319
Yemen,Sheath,H,Q4,73.95012202
Yemen,Sheath,H,Q5,84.91974113
Yemen,Sheath,H,Q6,72.32510974
Yemen,Sheath,H,Q7,24.10836991
Yemen,Stem(<1m),L,Q1,48.32922306
Yemen,Stem(<1m),L,Q2,32.01537059
Yemen,Stem(<1m),L,Q3,52.4186946
Yemen,Stem(<1m),L,Q4,33.10976652
Yemen,Stem(<1m),L,Q5,38.41339623
Yemen,Stem(<1m),L,Q6,32.01537059
Yemen,Stem(<1m),L,Q7,32.01537059
Yemen,Stem(<1m),M,Q1,65.91069035
Yemen,Stem(<1m),M,Q2,54.35899356
Yemen,Stem(<1m),M,Q3,65.51213993
Yemen,Stem(<1m),M,Q4,51.98268146
Yemen,Stem(<1m),M,Q5,51.84183676
Yemen,Stem(<1m),M,Q6,47.56411936
Yemen,Stem(<1m),M,Q7,33.97437097
Yemen,Stem(<1m),H,Q1,84.73223799
Yemen,Stem(<1m),H,Q2,76.14733839
Yemen,Stem(<1m),H,Q3,83.19637918
Yemen,Stem(<1m),H,Q4,67.65113442
Yemen,Stem(<1m),H,Q5,71.98477978
Yemen,Stem(<1m),H,Q6,57.11050379
Yemen,Stem(<1m),H,Q7,19.0368346
Yemen,Stem(>1m),L,Q1,75.15878156
Yemen,Stem(>1m),L,Q2,58.03972379
Yemen,Stem(>1m),L,Q3,59.51244183
Yemen,Stem(>1m),L,Q4,58.55487399
Yemen,Stem(>1m),L,Q5,48.61343032
Yemen,Stem(>1m),L,Q6,58.03972379
Yemen,Stem(>1m),L,Q7,58.03972379
Yemen,Stem(>1m),M,Q1,86.70181322
Yemen,Stem(>1m),M,Q2,71.1073079
Yemen,Stem(>1m),M,Q3,74.35212009
Yemen,Stem(>1m),M,Q4,70.61412902
Yemen,Stem(>1m),M,Q5,53.46885497
Yemen,Stem(>1m),M,Q6,62.21889441
Yemen,Stem(>1m),M,Q7,44.44206744
Yemen,Stem(>1m),H,Q1,93.53527165
Yemen,Stem(>1m),H,Q2,87.25735179
Yemen,Stem(>1m),H,Q3,84.20706682
Yemen,Stem(>1m),H,Q4,74.4704946
Yemen,Stem(>1m),H,Q5,76.83606648
Yemen,Stem(>1m),H,Q6,65.44301384
Yemen,Stem(>1m),H,Q7,21.81433795
GreenleafBMR,Leaf,L,Q1,71.42663549
GreenleafBMR,Leaf,L,Q2,54.4449534
GreenleafBMR,Leaf,L,Q3,80.40920829
GreenleafBMR,Leaf,L,Q4,49.69470913
GreenleafBMR,Leaf,L,Q5,53.87786374
GreenleafBMR,Leaf,L,Q6,54.4449534
GreenleafBMR,Leaf,L,Q7,54.4449534
GreenleafBMR,Leaf,M,Q1,88.01879392
GreenleafBMR,Leaf,M,Q2,80.9707094
GreenleafBMR,Leaf,M,Q3,86.69735535
GreenleafBMR,Leaf,M,Q4,71.11562724
GreenleafBMR,Leaf,M,Q5,68.04414584
GreenleafBMR,Leaf,M,Q6,70.84937073
GreenleafBMR,Leaf,M,Q7,50.60669338
GreenleafBMR,Leaf,H,Q1,79.59763176
GreenleafBMR,Leaf,H,Q2,65.24178623
GreenleafBMR,Leaf,H,Q3,88.64758892
GreenleafBMR,Leaf,H,Q4,44.2734975
GreenleafBMR,Leaf,H,Q5,92.72872319
GreenleafBMR,Leaf,H,Q6,48.93133967
GreenleafBMR,Leaf,H,Q7,16.31044656
GreenleafBMR,Sheath,L,Q1,85.35694292
GreenleafBMR,Sheath,L,Q2,69.81250295
GreenleafBMR,Sheath,L,Q3,77.11838919
GreenleafBMR,Sheath,L,Q4,71.10509736
GreenleafBMR,Sheath,L,Q5,50.76745432
GreenleafBMR,Sheath,L,Q6,69.81250295
GreenleafBMR,Sheath,L,Q7,69.81250295
GreenleafBMR,Sheath,M,Q1,87.35435053
GreenleafBMR,Sheath,M,Q2,71.04853065
GreenleafBMR,Sheath,M,Q3,85.42870219
GreenleafBMR,Sheath,M,Q4,70.92706649
GreenleafBMR,Sheath,M,Q5,54.58088125
GreenleafBMR,Sheath,M,Q6,62.16746432
GreenleafBMR,Sheath,M,Q7,44.40533166
GreenleafBMR,Sheath,H,Q1,91.41981531
GreenleafBMR,Sheath,H,Q2,82.48757661
GreenleafBMR,Sheath,H,Q3,93.05997362
GreenleafBMR,Sheath,H,Q4,68.88046563
GreenleafBMR,Sheath,H,Q5,78.85156204
GreenleafBMR,Sheath,H,Q6,61.86568245
GreenleafBMR,Sheath,H,Q7,20.62189415
GreenleafBMR,Stem,L,Q1,71.77828619
GreenleafBMR,Stem,L,Q2,49.5417246
GreenleafBMR,Stem,L,Q3,65.69816572
GreenleafBMR,Stem,L,Q4,53.2306358
GreenleafBMR,Stem,L,Q5,41.98721583
GreenleafBMR,Stem,L,Q6,49.5417246
GreenleafBMR,Stem,L,Q7,49.5417246
GreenleafBMR,Stem,M,Q1,81.48921037
GreenleafBMR,Stem,M,Q2,64.68253369
GreenleafBMR,Stem,M,Q3,72.64910692
GreenleafBMR,Stem,M,Q4,65.07157009
GreenleafBMR,Stem,M,Q5,51.61230732
GreenleafBMR,Stem,M,Q6,56.59721697
GreenleafBMR,Stem,M,Q7,40.42658355
GreenleafBMR,Stem,H,Q1,100
GreenleafBMR,Stem,H,Q2,95.00934912
GreenleafBMR,Stem,H,Q3,86.7142187
GreenleafBMR,Stem,H,Q4,85.28714633
GreenleafBMR,Stem,H,Q5,71.48606004
GreenleafBMR,Stem,H,Q6,71.25701184
GreenleafBMR,Stem,H,Q7,23.75233728
Graingrass,Leaf,L,Q1,69.7123768
Graingrass,Leaf,L,Q2,51.90879789
Graingrass,Leaf,L,Q3,79.89718882
Graingrass,Leaf,L,Q4,48.20592744
Graingrass,Leaf,L,Q5,53.99034798
Graingrass,Leaf,L,Q6,51.90879789
Graingrass,Leaf,L,Q7,51.90879789
Graingrass,Leaf,M,Q1,83.23881039
Graingrass,Leaf,M,Q2,70.19433174
Graingrass,Leaf,M,Q3,83.14781751
Graingrass,Leaf,M,Q4,59.82904809
Graingrass,Leaf,M,Q5,72.76151341
Graingrass,Leaf,M,Q6,61.42004027
Graingrass,Leaf,M,Q7,43.87145734
Graingrass,Leaf,H,Q1,70.38363145
Graingrass,Leaf,H,Q2,50.10366685
Graingrass,Leaf,H,Q3,84.03118529
Graingrass,Leaf,H,Q4,26.27071386
Graingrass,Leaf,H,Q5,100
Graingrass,Leaf,H,Q6,37.57775014
Graingrass,Leaf,H,Q7,12.52591671
Graingrass,Sheath,L,Q1,87.25204884
Graingrass,Sheath,L,Q2,67.04669043
Graingrass,Sheath,L,Q3,82.06287852
Graingrass,Sheath,L,Q4,69.04263531
Graingrass,Sheath,L,Q5,45.62697886
Graingrass,Sheath,L,Q6,67.04669043
Graingrass,Sheath,L,Q7,67.04669043
Graingrass,Sheath,M,Q1,85.17683231
Graingrass,Sheath,M,Q2,67.49537012
Graingrass,Sheath,M,Q3,82.70216727
Graingrass,Sheath,M,Q4,66.27368344
Graingrass,Sheath,M,Q5,55.05973729
Graingrass,Sheath,M,Q6,59.05844886
Graingrass,Sheath,M,Q7,42.18460633
Graingrass,Sheath,H,Q1,94.09044861
Graingrass,Sheath,H,Q2,81.15044328
Graingrass,Sheath,H,Q3,89.589568
Graingrass,Sheath,H,Q4,70.84833087
Graingrass,Sheath,H,Q5,79.9986771
Graingrass,Sheath,H,Q6,60.86283246
Graingrass,Sheath,H,Q7,20.28761082
Graingrass,Stem,L,Q1,77.85333882
Graingrass,Stem,L,Q2,54.7053178
Graingrass,Stem,L,Q3,66.91063367
Graingrass,Stem,L,Q4,60.68398142
Graingrass,Stem,L,Q5,44.42834492
Graingrass,Stem,L,Q6,54.7053178
Graingrass,Stem,L,Q7,54.7053178
Graingrass,Stem,M,Q1,96.20041939
Graingrass,Stem,M,Q2,80.69430512
Graingrass,Stem,M,Q3,79.96919306
Graingrass,Stem,M,Q4,80.76908252
Graingrass,Stem,M,Q5,58.22111015
Graingrass,Stem,M,Q6,70.60751698
Graingrass,Stem,M,Q7,50.4339407
Graingrass,Stem,H,Q1,98.05004956
Graingrass,Stem,H,Q2,90.87615113
Graingrass,Stem,H,Q3,83.38851187
Graingrass,Stem,H,Q4,79.85750808
Graingrass,Stem,H,Q5,76.37948472
Graingrass,Stem,H,Q6,68.15711334
Graingrass,Stem,H,Q7,22.71903778
